Date,Year,Month,Month_Sin,Month_Cos,Rainfall,Avg_Temperature,Humidity,Festive_Season,Public_Holidays,Public_Awareness_Level,Dengue,Road_Accidents,Heart_Patients,Hadisi_Anthuru,Tuberculosis,Cold,Fever
2017-08-01,2017,8,-0.8660254037844385,-0.5000000000000004,119.38994635412207,25.269135683566045,67.8890140690143,0,1,0.70308731722544,77,67,89,41,40,72,89
2017-09-01,2017,9,-1.0,-1.8369701987210297e-16,213.59941518853753,28.22745993460413,63.146139056843836,0,1,0.5143214027517313,135,78,92,51,41,93,106
2017-10-01,2017,10,-0.8660254037844386,0.5000000000000001,228.11760004942164,30.807142754282427,66.22069525003202,0,1,0.7358503422029283,129,77,94,52,41,91,105
2017-11-01,2017,11,-0.5000000000000004,0.8660254037844384,250.56773202036217,28.990592976792087,63.517465319861856,0,1,0.7090641202289479,153,86,104,55,42,102,114
2017-12-01,2017,12,-2.4492935982947064e-16,1.0,219.55851988936632,31.184633858532305,72.95122471733141,1,7,0.5790813590164203,163,237,122,76,42,87,102
2018-01-01,2018,1,0.49999999999999994,0.8660254037844387,199.77438442745137,30.85795900560174,79.49486369721367,0,2,0.45677879609981453,178,91,104,49,44,82,98
2018-02-01,2018,2,0.8660254037844386,0.5000000000000001,161.08933697149655,30.28182287177731,81.16468767391468,0,1,0.7357865977963998,147,75,105,46,43,72,89
2018-03-01,2018,3,1.0,6.123233995736766e-17,91.12041268395122,26.763049289121916,88.26482260786327,0,1,0.6601538504518967,122,62,108,39,43,60,79
2018-04-01,2018,4,0.8660254037844387,-0.4999999999999998,74.13122571846546,25.179543386915725,80.79997128192312,1,7,0.7861591958678197,100,206,117,62,43,59,78
2018-05-01,2018,5,0.49999999999999994,-0.8660254037844387,41.4356107011746,25.923865354263583,79.11991102660603,0,1,0.6600817505559967,82,51,99,34,42,47,68
2018-06-01,2018,6,1.2246467991473532e-16,-1.0,54.69485107053267,25.296984673233187,75.26148115457218,0,2,0.82609075015927,61,67,95,35,39,53,73
2018-07-01,2018,7,-0.4999999999999997,-0.8660254037844388,83.03427552122989,25.65241663899256,72.88254657813224,0,1,0.6759534193872427,72,58,94,38,40,60,79
2018-08-01,2018,8,-0.8660254037844385,-0.5000000000000004,168.3586746417855,26.846448209496977,63.46802165979674,0,1,0.6804689857676931,103,73,90,46,40,83,98
2018-09-01,2018,9,-1.0,-1.8369701987210297e-16,191.4122252836452,27.31997527842151,67.32632750430992,0,2,0.8383268013291725,98,90,104,49,42,89,103
2018-10-01,2018,10,-0.8660254037844386,0.5000000000000001,215.63858062238117,29.732253697161003,66.36021208419479,0,1,0.6017414331061985,133,78,96,51,40,90,104
2018-11-01,2018,11,-0.5000000000000004,0.8660254037844384,261.89298263159117,30.891148684652,68.0369826979041,0,2,0.4670076142253204,178,101,97,56,42,101,113
2018-12-01,2018,12,-2.4492935982947064e-16,1.0,222.61708793300286,30.285648581973632,75.92420694852655,1,6,0.4143913381566695,178,223,129,77,44,91,105
2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,211.07307922040042,32.46385072249807,80.39811939114693,0,1,0.7775686278368095,158,79,100,51,43,82,97
2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,130.0304462676519,29.97383292091179,82.4598202835268,0,1,0.7101547756767324,134,61,103,43,44,64,82
2019-03-01,2019,3,1.0,6.123233995736766e-17,88.4625256118093,26.80869650279735,85.13960416998003,0,2,0.7520398840496119,114,75,105,38,45,59,78
2019-04-01,2019,4,0.8660254037844387,-0.4999999999999998,71.44867398131723,27.15655360863383,82.88962684412085,1,6,0.5064820807544554,121,198,119,62,45,53,73
2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,61.52218974988783,24.42724211841936,80.22703469050249,0,1,0.4681857377933849,108,51,96,36,41,57,76
2019-06-01,2019,6,1.2246467991473532e-16,-1.0,61.640781535281384,25.787084603742453,76.32426134904209,0,1,0.407272332833941,98,58,93,36,42,54,73
2019-07-01,2019,7,-0.4999999999999997,-0.8660254037844388,90.32515046884724,26.560519367654088,73.1720336322907,0,1,0.5752937794032985,84,59,86,39,44,60,79
2019-08-01,2019,8,-0.8660254037844385,-0.5000000000000004,136.05794644031212,25.67931768164829,63.86411496450192,0,2,0.6949588434273166,86,80,93,43,41,76,92
2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,169.4368537992028,28.96337612924432,69.26606674931253,0,2,0.5961220225498662,107,86,94,46,40,78,94
2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,220.70658143079905,29.9127809269365,62.435570363110614,0,1,0.6187374610118646,134,79,100,52,41,91,105
2019-11-01,2019,11,-0.5000000000000004,0.8660254037844384,242.6452273856465,31.420136371347805,69.69642980992883,0,2,0.8520793472468742,138,101,98,54,41,94,107
2019-12-01,2019,12,-2.4492935982947064e-16,1.0,256.78657607585194,32.89679298265395,76.17663441296915,1,6,0.5741277335116501,182,230,120,80,45,94,108
2020-01-01,2020,1,0.49999999999999994,0.8660254037844387,213.09439963885603,30.352688095350445,80.56198373547006,0,1,0.6569947445799054,168,71,112,51,44,88,102
2020-02-01,2020,2,0.8660254037844386,0.5000000000000001,132.97989579540754,28.74626383564251,82.4148549982032,0,1,0.7918265063705716,129,63,105,43,42,68,85
2020-03-01,2020,3,1.0,6.123233995736766e-17,113.24657588620768,27.110485570374475,84.58375549928545,0,2,0.5982713911606351,138,79,107,41,43,66,84
2020-04-01,2020,4,0.8660254037844387,-0.4999999999999998,62.71952123703562,25.684189715034563,82.67425216852672,1,5,0.7110433501139368,100,173,121,61,45,54,74
2020-05-01,2020,5,0.49999999999999994,-0.8660254037844387,40.291361045367296,25.32482207923258,78.82127048611157,0,2,0.8311818543733727,68,65,91,34,42,48,69
2020-06-01,2020,6,1.2246467991473532e-16,-1.0,68.24540165004484,25.341151974816643,76.69920419404205,0,2,0.8747603118288211,64,69,85,36,42,57,76
2020-07-01,2020,7,-0.4999999999999997,-0.8660254037844388,107.52486754211012,25.678614587976703,70.7140309719301,0,2,0.473536740464519,100,75,93,40,43,68,85
2020-08-01,2020,8,-0.8660254037844385,-0.5000000000000004,154.54370366089444,27.327183249036025,64.95392677163431,0,2,0.8632938125807472,82,86,88,45,39,78,93
2020-09-01,2020,9,-1.0,-1.8369701987210297e-16,179.02642080637463,28.013001891877906,66.7991997508665,0,2,0.6460581465397691,107,94,95,47,41,83,98
2020-10-01,2020,10,-0.8660254037844386,0.5000000000000001,226.86605891895144,30.953534077157318,66.95434500390884,0,2,0.5291221941494793,145,93,94,52,41,90,104
2020-11-01,2020,11,-0.5000000000000004,0.8660254037844384,254.52376042109677,30.33341937811536,71.62572423767791,0,2,0.6295678781191307,161,96,102,55,43,100,112
2020-12-01,2020,12,-2.4492935982947064e-16,1.0,255.56291958940358,33.72016916658962,76.25925768384722,1,4,0.8900162876427385,156,199,115,80,43,92,106
2021-01-01,2021,1,0.49999999999999994,0.8660254037844387,200.75251172764973,31.223743559118322,78.34200997815586,0,2,0.6463090469964348,163,89,109,50,41,82,97
2021-02-01,2021,2,0.8660254037844386,0.5000000000000001,156.64061347589129,28.642842443583717,82.53989195745044,0,2,0.5643758051437542,159,86,112,45,42,75,91
2021-03-01,2021,3,1.0,6.123233995736766e-17,91.79029173519534,26.929107501938887,86.49458721024652,0,2,0.7167004271583629,118,72,107,39,43,60,79
2021-04-01,2021,4,0.8660254037844387,-0.4999999999999998,50.552656082070314,26.982472415243187,84.88099456871132,1,7,0.5200728093890965,109,202,116,60,45,47,68
2021-05-01,2021,5,0.49999999999999994,-0.8660254037844387,62.633078385869645,25.178461003320834,79.9581968120717,0,2,0.437931664054332,111,72,101,36,44,55,75
2021-06-01,2021,6,1.2246467991473532e-16,-1.0,79.41385774599416,25.71400049409209,75.23465476661757,0,2,0.46443986095532463,102,68,89,37,42,59,78
2021-07-01,2021,7,-0.4999999999999997,-0.8660254037844388,90.97972288096584,25.87516141322023,72.55532979157685,0,2,0.46402291947888624,93,69,93,39,41,62,80
2021-08-01,2021,8,-0.8660254037844385,-0.5000000000000004,155.6274953425318,26.427171087343126,65.15660318448396,0,2,0.4759513467561472,113,82,93,45,41,80,96
2021-09-01,2021,9,-1.0,-1.8369701987210297e-16,197.03922403042873,27.153206281931595,66.09419476234008,0,2,0.4694135863247051,130,88,101,49,40,91,104
2021-10-01,2021,10,-0.8660254037844386,0.5000000000000001,221.8274482376428,27.985152775314134,65.93536065728783,0,2,0.7204373724016073,127,95,104,52,41,96,109
2021-11-01,2021,11,-0.5000000000000004,0.8660254037844384,254.97574303266953,30.151561259286296,69.56463759354556,0,2,0.49094004219957244,173,99,99,55,43,101,113
2021-12-01,2021,12,-2.4492935982947064e-16,1.0,264.00029117955773,31.85639879432347,77.19755370397438,1,4,0.5728336416619316,186,202,122,81,45,99,112
2022-01-01,2022,1,0.49999999999999994,0.8660254037844387,207.40273470867982,30.81216995548352,81.65083269797606,0,1,0.848394204953006,150,73,103,50,43,85,100
2022-02-01,2022,2,0.8660254037844386,0.5000000000000001,182.89515296305865,28.25426122128801,85.28727330984566,0,2,0.6369808201314362,166,89,107,48,47,84,99
2022-03-01,2022,3,1.0,6.123233995736766e-17,69.0891397839396,28.17318092585118,87.61095761430866,0,2,0.7337788692605136,105,64,110,36,44,50,70
2022-04-01,2022,4,0.8660254037844387,-0.4999999999999998,80.82429300890873,26.885317379728836,83.7022617211099,1,6,0.48615993560081494,127,195,118,63,44,57,76
2022-05-01,2022,5,0.49999999999999994,-0.8660254037844387,51.750897073529245,24.51806635244555,81.36390594258992,0,2,0.4961445094043354,101,67,103,35,43,54,73
2022-06-01,2022,6,1.2246467991473532e-16,-1.0,54.585147060443816,25.15372510594553,74.37946648681309,0,1,0.42043430813323945,93,53,91,35,41,53,73
2022-07-01,2022,7,-0.4999999999999997,-0.8660254037844388,93.43628635270338,25.460132507092684,70.64833270497688,0,1,0.4844675315360823,92,59,86,39,40,64,82
2022-08-01,2022,8,-0.8660254037844385,-0.5000000000000004,110.76096815513806,25.357029702169378,66.07945985342025,0,1,0.5392951695159793,86,63,95,41,40,69,86
2022-09-01,2022,9,-1.0,-1.8369701987210297e-16,188.31960533715153,28.357787360348283,65.19399192998543,0,1,0.48850524213837343,125,73,94,48,40,85,100
2022-10-01,2022,10,-0.8660254037844386,0.5000000000000001,236.86093312939587,30.060784526368234,67.53006001302944,0,1,0.44435126687852783,156,78,97,53,41,95,109
2022-11-01,2022,11,-0.5000000000000004,0.8660254037844384,271.72321962116604,31.681127454528593,68.36355863353306,0,2,0.4603179355503004,184,101,93,57,43,102,114
2022-12-01,2022,12,-2.4492935982947064e-16,1.0,233.15568940846347,32.053802052034904,79.18477455137092,1,4,0.6303893840163629,166,198,125,78,45,89,104
2023-01-01,2023,1,0.49999999999999994,0.8660254037844387,195.8127212519313,29.220406843396226,77.9879652370006,0,2,0.5031668592028963,172,94,113,49,42,85,100
2023-02-01,2023,2,0.8660254037844386,0.5000000000000001,151.8991424720805,28.562174960084878,81.23187681226892,0,2,0.5821349305240378,155,78,106,45,44,74,90
2023-03-01,2023,3,1.0,6.123233995736766e-17,122.11634811081687,28.51503526720866,87.31622174700014,0,1,0.6517086354274284,138,64,101,42,45,65,83
2023-04-01,2023,4,0.8660254037844387,-0.4999999999999998,73.42702208817565,27.013785950912208,85.24357942577025,1,4,0.7451974143146827,103,162,118,62,42,54,74
2023-05-01,2023,5,0.49999999999999994,-0.8660254037844387,42.498787993451096,25.91697147495273,81.24823963410431,0,2,0.4196560699205495,102,63,91,34,42,47,68
2023-06-01,2023,6,1.2246467991473532e-16,-1.0,66.76926881413216,28.852731490654723,76.25669101852856,0,1,0.7997051994545213,69,58,79,36,43,47,68
2023-07-01,2023,7,-0.4999999999999997,-0.8660254037844388,93.51603794489145,25.972814299339852,69.97550645430617,0,1,0.7139501947454538,74,60,90,39,40,63,81
2023-08-01,2023,8,-0.8660254037844385,-0.5000000000000004,155.1041767321448,27.635565640180598,64.54523721918396,0,2,0.440879515974436,116,85,86,45,40,77,93
2023-09-01,2023,9,-1.0,-1.8369701987210297e-16,181.08388724655393,28.954001763493203,65.15160911638745,0,2,0.8367893120533887,93,94,91,48,41,81,97
2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001,226.58931235775316,30.1513912513058,64.98542253913139,0,1,0.8604362002659066,118,76,95,52,43,92,106
2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384,243.67318665306095,30.282806966712972,71.9502394668355,0,2,0.4305389799274319,172,94,109,54,44,97,110
2023-12-01,2023,12,-2.4492935982947064e-16,1.0,218.9770184605864,31.758969220493267,74.70588523699573,1,4,0.5384388240736019,166,192,124,76,44,86,101
2024-01-01,2024,1,0.49999999999999994,0.8660254037844387,212.38192945129774,29.825250996815743,78.34900560641498,0,1,0.8031006398965307,156,78,103,51,43,89,103
2024-02-01,2024,2,0.8660254037844386,0.5000000000000001,163.3413272085469,29.26318139325999,83.0174823545384,0,1,0.7741298451918293,145,68,106,46,45,75,92
2024-03-01,2024,3,1.0,6.123233995736766e-17,108.46201819492268,27.514636452170897,85.82586290855124,0,2,0.4922605096781887,144,76,102,40,45,63,82
2024-04-01,2024,4,0.8660254037844387,-0.4999999999999998,64.97694844265317,26.581874139386322,82.53280493223643,1,5,0.5046746616683552,118,179,121,61,44,53,73
2024-05-01,2024,5,0.49999999999999994,-0.8660254037844387,29.214629919200462,27.71658235532019,78.35555920886713,0,2,0.585236051395691,82,66,90,32,41,39,61
2024-06-01,2024,6,1.2246467991473532e-16,-1.0,52.760577475951436,23.13273480740825,75.48737442298382,0,2,0.6422614925955107,74,62,100,35,42,57,76
2024-07-01,2024,7,-0.4999999999999997,-0.8660254037844388,86.9191569567693,26.0881839790212,70.48993314221744,0,2,0.709127385765148,71,73,86,38,40,60,79
2024-08-01,2024,8,-0.8660254037844385,-0.5000000000000004,128.54034283582718,24.88728412881035,65.32585961141336,0,1,0.5844568197848863,91,67,96,42,41,76,92
2024-09-01,2024,9,-1.0,-1.8369701987210297e-16,189.19539797972408,27.528068134210567,64.05792338876336,0,1,0.631267358066574,114,73,95,48,42,87,102
2024-10-01,2024,10,-0.8660254037844386,0.5000000000000001,237.56500740893773,30.588950596967365,66.80384583687089,0,1,0.7737354690668783,130,79,95,53,41,94,108
2024-11-01,2024,11,-0.5000000000000004,0.8660254037844384,277.8475974682013,30.66235623044878,67.10383131700536,0,1,0.41834160144529897,190,85,99,57,42,106,118
2024-12-01,2024,12,-2.4492935982947064e-16,1.0,243.54840987504576,29.922255222070692,72.1850724512469,1,7,0.5262184721720105,179,242,131,79,42,98,111
2025-01-01,2025,1,0.49999999999999994,0.8660254037844387,211.80338115617056,29.88277250209335,78.56311155749513,0,1,0.7566747929422762,160,76,107,51,45,88,103
2025-02-01,2025,2,0.8660254037844386,0.5000000000000001,158.30880938935604,30.179597748934675,83.23335973442069,0,2,0.8476034188435997,137,84,107,45,43,72,89
2025-03-01,2025,3,1.0,6.123233995736766e-17,79.60374811580013,27.269633368282864,85.62181513119602,0,1,0.6558387210578331,117,57,109,37,44,55,75
2025-04-01,2025,4,0.8660254037844387,-0.4999999999999998,68.09804731154212,26.716458589581976,86.61096647174348,1,5,0.6660567426326578,106,181,120,61,46,53,73
2025-05-01,2025,5,0.49999999999999994,-0.8660254037844387,51.348644199072076,25.4474956285505,81.71531924640404,0,2,0.45358600566988805,104,74,96,35,42,51,71
2025-06-01,2025,6,1.2246467991473532e-16,-1.0,96.01888900471111,24.348399652394182,74.68012294007315,0,1,0.6237061834117273,98,63,100,39,42,67,85
2025-07-01,2025,7,-0.4999999999999997,-0.8660254037844388,89.174460232954,27.54586787797201,69.96196758419462,0,1,0.6663086332275117,76,57,84,38,39,57,77
2025-08-01,2025,8,-0.8660254037844385,-0.5000000000000004,145.09771200915563,27.13391902231801,64.33468723288,0,1,0.5212352518173649,104,64,86,44,39,75,92
2025-09-01,2025,9,-1.0,-1.8369701987210297e-16,191.09400710913556,25.97485741334239,64.96297372801521,0,1,0.5346216154746906,122,73,101,49,43,92,105
2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,213.9740739924267,29.686454314769428,65.76242868431534,0,2,0.5886420815523113,133,89,100,51,41,89,104
2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,266.6971511677686,29.93628974658493,70.64543712067618,0,1,0.4100355988888632,185,84,106,56,42,105,116
2025-12-01,2025,12,-2.4492935982947064e-16,1.0,252.2087381728698,31.852433334796224,73.34553811289535,1,4,0.5610395827915892,181,201,122,80,43,96,109
